PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,1,22.0,1.0,0,7.25,3
2,1,1,0,38.0,1.0,0,65.6344,0
3,1,3,0,26.0,0.0,0,7.925,3
4,1,1,0,35.0,1.0,0,53.1,3
5,0,3,1,35.0,0.0,0,8.05,3
6,0,3,1,28.0,0.0,0,8.4583,2
7,0,1,1,54.0,0.0,0,51.8625,3
8,0,3,1,2.0,2.5,0,21.075,3
9,1,3,0,27.0,0.0,0,11.1333,3
10,1,2,0,14.0,1.0,0,30.0708,0
11,1,3,0,4.0,1.0,0,16.7,3
12,1,1,0,58.0,0.0,0,26.55,3
13,0,3,1,20.0,0.0,0,8.05,3
14,0,3,1,39.0,1.0,0,31.275,3
15,0,3,0,14.0,0.0,0,7.8542,3
16,1,2,0,55.0,0.0,0,16.0,3
17,0,3,1,2.0,2.5,0,29.125,2
18,1,2,1,28.0,0.0,0,13.0,3
19,0,3,0,31.0,1.0,0,18.0,3
20,1,3,0,28.0,0.0,0,7.225,0
21,0,2,1,35.0,0.0,0,26.0,3
22,1,2,1,34.0,0.0,0,13.0,3
23,1,3,0,15.0,0.0,0,8.0292,2
24,1,1,1,28.0,0.0,0,35.5,3
25,0,3,0,8.0,2.5,0,21.075,3
26,1,3,0,38.0,1.0,0,31.3875,3
27,0,3,1,28.0,0.0,0,7.225,0
28,0,1,1,19.0,2.5,0,65.6344,3
29,1,3,0,28.0,0.0,0,7.8792,2
30,0,3,1,28.0,0.0,0,7.8958,3
31,0,1,1,40.0,0.0,0,27.7208,0
32,1,1,0,28.0,1.0,0,65.6344,0
33,1,3,0,28.0,0.0,0,7.75,2
34,0,2,1,64.8125,0.0,0,10.5,3
35,0,1,1,28.0,1.0,0,65.6344,0
36,0,1,1,42.0,1.0,0,52.0,3
37,1,3,1,28.0,0.0,0,7.2292,0
38,0,3,1,21.0,0.0,0,8.05,3
39,0,3,0,18.0,2.0,0,18.0,3
40,1,3,0,14.0,1.0,0,11.2417,0
41,0,3,0,40.0,1.0,0,9.475,3
42,0,2,0,27.0,1.0,0,21.0,3
43,0,3,1,28.0,0.0,0,7.8958,0
44,1,2,0,3.0,1.0,0,41.5792,0
45,1,3,0,19.0,0.0,0,7.8792,2
46,0,3,1,28.0,0.0,0,8.05,3
47,0,3,1,28.0,1.0,0,15.5,2
48,1,3,0,28.0,0.0,0,7.75,2
49,0,3,1,28.0,2.0,0,21.6792,0
50,0,3,0,18.0,1.0,0,17.8,3
51,0,3,1,7.0,2.5,0,39.6875,3
52,0,3,1,21.0,0.0,0,7.8,3
53,1,1,0,49.0,1.0,0,65.6344,0
54,1,2,0,29.0,1.0,0,26.0,3
55,0,1,1,64.8125,0.0,0,61.9792,0
56,1,1,1,28.0,0.0,0,35.5,3
57,1,2,0,21.0,0.0,0,10.5,3
58,0,3,1,28.5,0.0,0,7.2292,0
59,1,2,0,5.0,1.0,0,27.75,3
60,0,3,1,11.0,2.5,0,46.9,3
61,0,3,1,22.0,0.0,0,7.2292,0
62,1,1,0,38.0,0.0,0,65.6344,1
63,0,1,1,45.0,1.0,0,65.6344,3
64,0,3,1,4.0,2.5,0,27.9,3
65,0,1,1,28.0,0.0,0,27.7208,0
66,1,3,1,28.0,1.0,0,15.2458,0
67,1,2,0,29.0,0.0,0,10.5,3
68,0,3,1,19.0,0.0,0,8.1583,3
69,1,3,0,17.0,2.5,0,7.925,3
70,0,3,1,26.0,2.0,0,8.6625,3
71,0,2,1,32.0,0.0,0,10.5,3
72,0,3,0,16.0,2.5,0,46.9,3
73,0,2,1,21.0,0.0,0,65.6344,3
74,0,3,1,26.0,1.0,0,14.4542,0
75,1,3,1,32.0,0.0,0,56.4958,3
76,0,3,1,25.0,0.0,0,7.65,3
77,0,3,1,28.0,0.0,0,7.8958,3
78,0,3,1,28.0,0.0,0,8.05,3
79,1,2,1,0.83,0.0,0,29.0,3
80,1,3,0,30.0,0.0,0,12.475,3
81,0,3,1,22.0,0.0,0,9.0,3
82,1,3,1,29.0,0.0,0,9.5,3
83,1,3,0,28.0,0.0,0,7.7875,2
84,0,1,1,28.0,0.0,0,47.1,3
85,1,2,0,17.0,0.0,0,10.5,3
86,1,3,0,33.0,2.5,0,15.85,3
87,0,3,1,16.0,1.0,0,34.375,3
88,0,3,1,28.0,0.0,0,8.05,3
89,1,1,0,23.0,2.5,0,65.6344,3
90,0,3,1,24.0,0.0,0,8.05,3
91,0,3,1,29.0,0.0,0,8.05,3
92,0,3,1,20.0,0.0,0,7.8542,3
93,0,1,1,46.0,1.0,0,61.175,3
94,0,3,1,26.0,1.0,0,20.575,3
95,0,3,1,59.0,0.0,0,7.25,3
96,0,3,1,28.0,0.0,0,8.05,3
97,0,1,1,64.8125,0.0,0,34.6542,0
98,1,1,1,23.0,0.0,0,63.3583,0
99,1,2,0,34.0,0.0,0,23.0,3
100,0,2,1,34.0,1.0,0,26.0,3
101,0,3,0,28.0,0.0,0,7.8958,3
102,0,3,1,28.0,0.0,0,7.8958,3
103,0,1,1,21.0,0.0,0,65.6344,3
104,0,3,1,33.0,0.0,0,8.6542,3
105,0,3,1,37.0,2.0,0,7.925,3
106,0,3,1,28.0,0.0,0,7.8958,3
107,1,3,0,21.0,0.0,0,7.65,3
108,1,3,1,28.0,0.0,0,7.775,3
109,0,3,1,38.0,0.0,0,7.8958,3
110,1,3,0,28.0,1.0,0,24.15,2
111,0,1,1,47.0,0.0,0,52.0,3
112,0,3,0,14.5,1.0,0,14.4542,0
113,0,3,1,22.0,0.0,0,8.05,3
114,0,3,0,20.0,1.0,0,9.825,3
115,0,3,0,17.0,0.0,0,14.4583,0
116,0,3,1,21.0,0.0,0,7.925,3
117,0,3,1,64.8125,0.0,0,7.75,2
118,0,2,1,29.0,1.0,0,21.0,3
119,0,1,1,24.0,0.0,0,65.6344,0
120,0,3,0,2.0,2.5,0,31.275,3
121,0,2,1,21.0,2.0,0,65.6344,3
122,0,3,1,28.0,0.0,0,8.05,3
123,0,2,1,32.5,1.0,0,30.0708,0
124,1,2,0,32.5,0.0,0,13.0,3
125,0,1,1,54.0,0.0,0,65.6344,3
126,1,3,1,12.0,1.0,0,11.2417,0
127,0,3,1,28.0,0.0,0,7.75,2
128,1,3,1,24.0,0.0,0,7.1417,3
129,1,3,0,28.0,1.0,0,22.3583,0
130,0,3,1,45.0,0.0,0,6.975,3
131,0,3,1,33.0,0.0,0,7.8958,0
132,0,3,1,20.0,0.0,0,7.05,3
133,0,3,0,47.0,1.0,0,14.5,3
134,1,2,0,29.0,1.0,0,26.0,3
135,0,2,1,25.0,0.0,0,13.0,3
136,0,2,1,23.0,0.0,0,15.0458,0
